"","X.3","X.2","X.1","X","day","month","year","time","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag.Text","AvgSpeed","PmlHGV","Class2Volume"
"91",91,91,91,181,2,2,18,"06:00",1083,1,"NB_NS",1,"North",332,0,NA,14855,33,307
"92",92,92,92,182,2,2,18,"06:00",1083,2,"NB_MID",1,"North",451,0,NA,15519,58,421
"93",93,93,93,183,2,2,18,"06:00",1083,3,"NB_OS",1,"North",414,0,NA,15903,22,401
"94",94,94,94,187,2,2,18,"07:00",1083,1,"NB_NS",1,"North",792,0,NA,11574,32,741
"95",95,95,95,188,2,2,18,"07:00",1083,2,"NB_MID",1,"North",1087,0,NA,9788,34,1038
"96",96,96,96,189,2,2,18,"07:00",1083,3,"NB_OS",1,"North",1126,0,NA,9609,20,1097
"97",97,97,97,193,2,2,18,"08:00",1083,1,"NB_NS",1,"North",804,0,NA,10399,42,758
"98",98,98,98,194,2,2,18,"08:00",1083,2,"NB_MID",1,"North",942,0,NA,9490,41,891
"99",99,99,99,195,2,2,18,"08:00",1083,3,"NB_OS",1,"North",995,0,NA,9594,38,948
"100",100,100,100,199,2,2,18,"09:00",1083,1,"NB_NS",1,"North",653,0,NA,13299,46,605
"101",101,101,101,200,2,2,18,"09:00",1083,2,"NB_MID",1,"North",816,0,NA,13762,48,762
"102",102,102,102,201,2,2,18,"09:00",1083,3,"NB_OS",1,"North",823,0,NA,14219,41,786
"103",103,103,103,205,2,2,18,"10:00",1083,1,"NB_NS",1,"North",552,0,NA,13797,83,491
"104",104,104,104,206,2,2,18,"10:00",1083,2,"NB_MID",1,"North",595,0,NA,14847,54,551
"105",105,105,105,207,2,2,18,"10:00",1083,3,"NB_OS",1,"North",521,0,NA,15627,38,498
"106",106,106,106,211,2,2,18,"11:00",1083,1,"NB_NS",1,"North",579,0,NA,13601,62,524
"107",107,107,107,212,2,2,18,"11:00",1083,2,"NB_MID",1,"North",644,0,NA,14775,43,607
"108",108,108,108,213,2,2,18,"11:00",1083,3,"NB_OS",1,"North",514,0,NA,15790,45,491
"109",109,109,109,217,2,2,18,"12:00",1083,1,"NB_NS",1,"North",590,0,NA,13537,61,537
"110",110,110,110,218,2,2,18,"12:00",1083,2,"NB_MID",1,"North",696,0,NA,14720,45,652
"111",111,111,111,219,2,2,18,"12:00",1083,3,"NB_OS",1,"North",612,0,NA,15436,26,590
"112",112,112,112,223,2,2,18,"13:00",1083,1,"NB_NS",1,"North",633,0,NA,13610,58,576
"113",113,113,113,224,2,2,18,"13:00",1083,2,"NB_MID",1,"North",662,0,NA,14709,54,609
"114",114,114,114,225,2,2,18,"13:00",1083,3,"NB_OS",1,"North",534,0,NA,15513,36,512
"115",115,115,115,229,2,2,18,"14:00",1083,1,"NB_NS",1,"North",676,0,NA,13510,53,626
"116",116,116,116,230,2,2,18,"14:00",1083,2,"NB_MID",1,"North",588,0,NA,14763,51,545
"117",117,117,117,231,2,2,18,"14:00",1083,3,"NB_OS",1,"North",560,0,NA,15442,43,535
"118",118,118,118,235,2,2,18,"15:00",1083,1,"NB_NS",1,"North",749,0,NA,12743,72,674
"119",119,119,119,236,2,2,18,"15:00",1083,2,"NB_MID",1,"North",600,0,NA,13962,32,574
"120",120,120,120,237,2,2,18,"15:00",1083,3,"NB_OS",1,"North",660,0,NA,14701,36,633
